source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_10,AIT501,7.852987,7.853628,0.9765625,0.0056757620976337665,0.9708867379023662,False,Attack_10,AIT501_ATTACK_RANGE_002
Attack_4,AIT501,7.87061,7.873174,1.0,0.03569515852613539,0.9643048414738646,False,Attack_4,AIT501_ATTACK_RANGE_003
Attack_25,AIT501,7.813894,7.821584,0.967280163599182,0.006430435601474427,0.9608497279977076,False,Attack_25,AIT501_ATTACK_RANGE_004
Attack_29,AIT501,7.837926,7.84081,0.9583333333333334,0.006203407880724174,0.9521299254526092,False,Attack_29,AIT501_ATTACK_RANGE_005
Attack_39,AIT501,7.75109,7.755255,1.0,0.05522819798585815,0.9447718020141418,False,Attack_39,AIT501_ATTACK_RANGE_006
Attack_1,AIT501,7.873174,7.876058,0.9680851063829787,0.03197485367439844,0.9361102527085803,False,Attack_1,AIT501_ATTACK_RANGE_007
Attack_31,AIT501,7.778006,7.779928,0.9385665529010239,0.010116960629499773,0.9284495922715241,False,Attack_31,AIT501_ATTACK_RANGE_008
Attack_26,AIT501,7.784414,7.7889,0.9342560553633218,0.007068493150684932,0.9271875622126369,False,Attack_26,AIT501_ATTACK_RANGE_009
Attack_7,AIT501,7.867406,7.871251,0.9533527696793003,0.02779192238629968,0.9255608472930006,False,Attack_7,AIT501_ATTACK_RANGE_010
Attack_21,AIT501,7.822866,7.82575,0.9791666666666666,0.05685005393743258,0.922316612729234,False,Attack_21,AIT501_ATTACK_RANGE_011
Attack_34,AIT501,7.796911,7.798513,0.9625,0.045720672769853095,0.9167793272301469,False,Attack_34,AIT501_ATTACK_RANGE_012
Attack_23,AIT501,7.801077,7.804922,0.9317773788150808,0.017601552602496025,0.9141758262125848,False,Attack_23,AIT501_ATTACK_RANGE_013
Attack_19,AIT501,7.823186,7.825109,0.9516908212560387,0.04502122887126492,0.9066695923847737,False,Attack_19,AIT501_ATTACK_RANGE_014
Attack_8,AIT501,7.856191,7.860997,0.953307392996109,0.0480683204554697,0.9052390725406393,False,Attack_8,AIT501_ATTACK_RANGE_015
Attack_16,AIT501,7.857152,7.859715,0.9318181818181818,0.035767710225451436,0.8960504715927303,False,Attack_16,AIT501_ATTACK_RANGE_016
Attack_27,AIT501,7.7591,7.769675,0.9363905325443787,0.042364477743499336,0.8940260548008793,False,Attack_27,AIT501_ATTACK_RANGE_017
Attack_30,AIT501,7.825109,7.830556,0.9529914529914529,0.06748366013071895,0.885507792860734,False,Attack_30,AIT501_ATTACK_RANGE_018
Attack_38,AIT501,7.752051,7.755576,0.9330357142857143,0.04822077366958752,0.8848149406161268,False,Attack_38,AIT501_ATTACK_RANGE_019
Attack_36,AIT501,7.79595,7.80200645,0.9490740740740741,0.06638190414786159,0.8826921699262125,False,Attack_36,AIT501_ATTACK_RANGE_020
Attack_2,AIT501,7.872533,7.878621,0.9548022598870056,0.08090718996300467,0.8738950699240009,False,Attack_2,AIT501_ATTACK_RANGE_021
