source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,attack_train_samples,fallback_selected,source_attacks,feature_name
Attack_2,AIT201,262.3045,262.4007,0.9211267605633803,0.023840775762770886,0.8972859848006094,355,False,Attack_2,AIT201_ATTACK_RANGE_021
Attack_20,AIT201,251.2497,251.3458,0.9240506329113924,0.034064757827134064,0.8899858750842584,316,False,Attack_20,AIT201_ATTACK_RANGE_022
Attack_8,AIT201,263.2979,263.6504,0.9520725388601037,0.08704014736956169,0.865032391490542,772,False,Attack_8,AIT201_ATTACK_RANGE_023
Attack_37,AIT201,169.8603,170.0205,0.925531914893617,0.06585365853658537,0.8596782563570315,376,False,Attack_37,AIT201_ATTACK_RANGE_024
Attack_3,AIT202,8.445143,8.45059,0.9674267100977199,0.01219936327884641,0.9552273468188734,307,False,Attack_3,AIT202_ATTACK_RANGE_000
Attack_19,AIT202,8.384901,8.391951,0.9951923076923077,0.04111745557393671,0.954074852118371,208,False,Attack_19,AIT202_ATTACK_RANGE_001
Attack_25,AIT202,8.570431,8.580364,0.9693877551020408,0.01559307452414238,0.9537946805778984,490,False,Attack_25,AIT202_ATTACK_RANGE_002
Attack_4,AIT202,8.365996,8.372725,0.9807692307692307,0.040108096537700005,0.9406611342315307,312,False,Attack_4,AIT202_ATTACK_RANGE_003
Attack_29,AIT202,8.676814,8.683222,0.9690721649484536,0.030886695575833355,0.9381854693726203,97,False,Attack_29,AIT202_ATTACK_RANGE_004
Attack_36,AIT202,8.684824,8.693796,0.9560185185185185,0.0246953347291566,0.9313231837893619,432,False,Attack_36,AIT202_ATTACK_RANGE_005
Attack_26,AIT202,8.431684,8.449308,0.9645328719723183,0.05064330687106488,0.9138895651012534,1156,False,Attack_26,AIT202_ATTACK_RANGE_006
Attack_20,AIT202,8.38426,8.388746,0.9177215189873418,0.013513513513513514,0.9042080054738283,316,False,Attack_20,AIT202_ATTACK_RANGE_007
Attack_13,AIT202,8.391951,8.400282,0.9732620320855615,0.07600202672071255,0.897260005364849,187,False,Attack_13,AIT202_ATTACK_RANGE_008
Attack_33,AIT202,8.595425,8.605999,0.9438202247191011,0.04744173586927404,0.8963784888498271,356,False,Attack_33,AIT202_ATTACK_RANGE_009
Attack_27,AIT202,8.536144,8.551205,0.9076127124907613,0.013073514435912256,0.894539198054849,1353,False,Attack_27,AIT202_ATTACK_RANGE_010
Attack_7,AIT202,8.427855450000001,8.438734,0.9215116279069767,0.03237641261849928,0.8891352152884774,344,False,Attack_7,AIT202_ATTACK_RANGE_011
Attack_40,AIT202,8.620739,8.625225,0.9159663865546218,0.031617175817133095,0.8843492107374887,238,False,Attack_40,AIT202_ATTACK_RANGE_012
Attack_2,AIT202,8.377531,8.390028,0.9098591549295775,0.04318127025796255,0.8666778846716149,355,False,Attack_2,AIT202_ATTACK_RANGE_013
Attack_10,AIT203,328.4286,328.6337,1.0,0.012167847063208904,0.987832152936791,128,False,Attack_10,AIT203_ATTACK_RANGE_000
Attack_36,AIT203,288.1056,291.1305,0.9884259259259259,0.024051108605787297,0.9643748173201386,432,False,Attack_36,AIT203_ATTACK_RANGE_001
Attack_40,AIT203,303.3325,303.8964,0.9747899159663865,0.012737662892544329,0.9620522530738422,238,False,Attack_40,AIT203_ATTACK_RANGE_002
Attack_13,AIT203,332.4532,332.7352,0.9732620320855615,0.013493693165151071,0.9597683389204105,187,False,Attack_13,AIT203_ATTACK_RANGE_003
